match_id,year,home_team,away_team,home_score,away_score,home_rank,away_rank,home_gdp,away_gdp,home_pop,away_pop,result
0,1930,France,Mexico,4.0,1.0,,,,,,,1
1,1930,Argentina,France,1.0,0.0,,,,,,,1
2,1930,Chile,Mexico,3.0,0.0,,,,,,,1
3,1930,Chile,France,1.0,0.0,,,,,,,1
4,1930,Argentina,Mexico,6.0,3.0,,,,,,,1
5,1930,Argentina,Chile,3.0,1.0,,,,,,,1
6,1930,Yugoslavia,Brazil,2.0,1.0,,,,,,,1
7,1930,Yugoslavia,Bolivia,4.0,0.0,,,,,,,1
8,1930,Brazil,Bolivia,4.0,0.0,,,,,,,1
9,1930,Romania,Peru,3.0,1.0,,,,,,,1
10,1930,Uruguay,Peru,1.0,0.0,,,,,,,1
11,1930,Uruguay,Romania,4.0,0.0,,,,,,,1
12,1930,United States,Belgium,3.0,0.0,,,,,,,1
13,1930,United States,Paraguay,3.0,0.0,,,,,,,1
14,1930,Paraguay,Belgium,1.0,0.0,,,,,,,1
15,1930,Argentina,United States,6.0,1.0,,,,,,,1
16,1930,Uruguay,Yugoslavia,6.0,1.0,,,,,,,1
17,1930,Uruguay,Argentina,4.0,2.0,,,,,,,1
18,1934,Spain,Brazil,3.0,1.0,,,,,,,1
19,1934,Hungary,Egypt,4.0,2.0,,,,,,,1
20,1934,Switzerland,Netherlands,3.0,2.0,,,,,,,1
21,1934,Italy,United States,7.0,1.0,,,,,,,1
22,1934,Czechoslovakia,Romania,2.0,1.0,,,,,,,1
23,1934,Sweden,Argentina,3.0,2.0,,,,,,,1
24,1934,Austria,France,3.0,2.0,,,,,,,1
25,1934,Germany,Belgium,5.0,2.0,,,,,,,1
26,1934,Austria,Hungary,2.0,1.0,,,,,,,1
27,1934,Italy,Spain,1.0,1.0,,,,,,,0
28,1934,Germany,Sweden,2.0,1.0,,,,,,,1
29,1934,Czechoslovakia,Switzerland,3.0,2.0,,,,,,,1
30,1934,Italy,Spain,1.0,0.0,,,,,,,1
31,1934,Italy,Austria,1.0,0.0,,,,,,,1
32,1934,Czechoslovakia,Germany,3.0,1.0,,,,,,,1
33,1934,Germany,Austria,3.0,2.0,,,,,,,1
34,1934,Italy,Czechoslovakia,2.0,1.0,,,,,,,1
35,1938,Switzerland,Germany,1.0,1.0,,,,,,,0
36,1938,Hungary,Dutch East Indies,6.0,0.0,,,,,,,1
37,1938,Sweden,Austria,,,,,,,,,0
38,1938,Cuba,Romania,3.0,3.0,,,,,,,0
39,1938,France,Belgium,3.0,1.0,,,,,,,1
40,1938,Italy,Norway,2.0,1.0,,,,,,,1
41,1938,Brazil,Poland,6.0,5.0,,,,,,,1
42,1938,Czechoslovakia,Netherlands,3.0,0.0,,,,,,,1
43,1938,Switzerland,Germany,4.0,2.0,,,,,,,1
44,1938,Cuba,Romania,2.0,1.0,,,,,,,1
45,1938,Hungary,Switzerland,2.0,0.0,,,,,,,1
46,1938,Sweden,Cuba,8.0,0.0,,,,,,,1
47,1938,Italy,France,3.0,1.0,,,,,,,1
48,1938,Brazil,Czechoslovakia,1.0,1.0,,,,,,,0
49,1938,Brazil,Czechoslovakia,2.0,1.0,,,,,,,1
50,1938,Hungary,Sweden,5.0,1.0,,,,,,,1
51,1938,Italy,Brazil,2.0,1.0,,,,,,,1
52,1938,Brazil,Sweden,4.0,2.0,,,,,,,1
53,1938,Italy,Hungary,4.0,2.0,,,,,,,1
54,1950,Brazil,Mexico,4.0,0.0,,,,,,,1
55,1950,Yugoslavia,Switzerland,3.0,0.0,,,,,,,1
56,1950,Brazil,Switzerland,2.0,2.0,,,,,,,0
