year,stage,group,home_team,away_team
2026,Group Stage,Group A,Mexico,South Africa
2026,Group Stage,Group A,South Korea,Czech Republic
2026,Group Stage,Group A,Czech Republic,South Africa
2026,Group Stage,Group A,Mexico,South Korea
2026,Group Stage,Group A,Czech Republic,Mexico
2026,Group Stage,Group A,South Africa,South Korea
2026,Group Stage,Group B,Canada,Bosnia and Herzegovina
2026,Group Stage,Group B,Qatar,Switzerland
2026,Group Stage,Group B,Switzerland,Bosnia and Herzegovina
2026,Group Stage,Group B,Canada,Qatar
2026,Group Stage,Group B,Switzerland,Canada
2026,Group Stage,Group B,Bosnia and Herzegovina,Qatar
2026,Group Stage,Group C,Brazil,Morocco
2026,Group Stage,Group C,Haiti,Scotland
2026,Group Stage,Group C,Scotland,Morocco
2026,Group Stage,Group C,Brazil,Haiti
2026,Group Stage,Group C,Scotland,Brazil
2026,Group Stage,Group C,Morocco,Haiti
2026,Group Stage,Group D,United States,Paraguay
2026,Group Stage,Group D,Australia,Turkey
2026,Group Stage,Group D,United States,Australia
2026,Group Stage,Group D,Turkey,Paraguay
2026,Group Stage,Group D,Turkey,United States
2026,Group Stage,Group D,Paraguay,Australia
2026,Group Stage,Group E,Germany,Curaçao
2026,Group Stage,Group E,Ivory Coast,Ecuador
2026,Group Stage,Group E,Germany,Ivory Coast
2026,Group Stage,Group E,Ecuador,Curaçao
2026,Group Stage,Group E,Curaçao,Ivory Coast
2026,Group Stage,Group E,Ecuador,Germany
2026,Group Stage,Group F,Netherlands,Japan
2026,Group Stage,Group F,Sweden,Tunisia
2026,Group Stage,Group F,Netherlands,Sweden
2026,Group Stage,Group F,Tunisia,Japan
2026,Group Stage,Group F,Japan,Sweden
2026,Group Stage,Group F,Tunisia,Netherlands
2026,Group Stage,Group G,Belgium,Egypt
2026,Group Stage,Group G,Iran,New Zealand
2026,Group Stage,Group G,Belgium,Iran
2026,Group Stage,Group G,New Zealand,Egypt
2026,Group Stage,Group G,Egypt,Iran
2026,Group Stage,Group G,New Zealand,Belgium
2026,Group Stage,Group H,Spain,Cape Verde
2026,Group Stage,Group H,Saudi Arabia,Uruguay
2026,Group Stage,Group H,Spain,Saudi Arabia
2026,Group Stage,Group H,Uruguay,Cape Verde
2026,Group Stage,Group H,Cape Verde,Saudi Arabia
2026,Group Stage,Group H,Uruguay,Spain
2026,Group Stage,Group I,France,Senegal
2026,Group Stage,Group I,Iraq,Norway
2026,Group Stage,Group I,France,Iraq
2026,Group Stage,Group I,Norway,Senegal
2026,Group Stage,Group I,Norway,France
2026,Group Stage,Group I,Senegal,Iraq
2026,Group Stage,Group J,Argentina,Algeria
2026,Group Stage,Group J,Austria,Jordan
2026,Group Stage,Group J,Argentina,Austria
2026,Group Stage,Group J,Jordan,Algeria
2026,Group Stage,Group J,Algeria,Austria
2026,Group Stage,Group J,Jordan,Argentina
2026,Group Stage,Group K,Portugal,DR Congo
2026,Group Stage,Group K,Uzbekistan,Colombia
2026,Group Stage,Group K,Portugal,Uzbekistan
2026,Group Stage,Group K,Colombia,DR Congo
2026,Group Stage,Group K,Colombia,Portugal
2026,Group Stage,Group K,DR Congo,Uzbekistan
2026,Group Stage,Group L,England,Croatia
2026,Group Stage,Group L,Ghana,Panama
2026,Group Stage,Group L,England,Ghana
2026,Group Stage,Group L,Panama,Croatia
2026,Group Stage,Group L,Panama,England
2026,Group Stage,Group L,Croatia,Ghana
