year,stage,group,home_team,away_team,home_rank,away_rank,home_gdp,away_gdp,home_pop,away_pop
2026,Group Stage,Group A,mexico,south africa,15,52,1096780000000.0,314770000000.0,127504000.0,59894000.0
2026,Group Stage,Group A,south korea,czechia,22,35,1291490000000.0,225630000000.0,51628000.0,10526000.0
2026,Group Stage,Group A,czechia,south africa,35,52,225630000000.0,314770000000.0,10526000.0,59894000.0
2026,Group Stage,Group A,mexico,south korea,15,22,1096780000000.0,1291490000000.0,127504000.0,51628000.0
2026,Group Stage,Group A,czechia,mexico,35,15,225630000000.0,1096780000000.0,10526000.0,127504000.0
2026,Group Stage,Group A,south africa,south korea,52,22,314770000000.0,1291490000000.0,59894000.0,51628000.0
2026,Group Stage,Group B,canada,bosnia & herzegovina,30,65,1659560000000.0,19020000000.0,38930000.0,3234000.0
2026,Group Stage,Group B,qatar,switzerland,54,18,184040000000.0,626420000000.0,2695000.0,8770000.0
2026,Group Stage,Group B,switzerland,bosnia & herzegovina,18,65,626420000000.0,19020000000.0,8770000.0,3234000.0
2026,Group Stage,Group B,canada,qatar,30,54,1659560000000.0,184040000000.0,38930000.0,2695000.0
2026,Group Stage,Group B,switzerland,canada,18,30,626420000000.0,1659560000000.0,8770000.0,38930000.0
2026,Group Stage,Group B,bosnia & herzegovina,qatar,65,54,19020000000.0,184040000000.0,3234000.0,2695000.0
2026,Group Stage,Group C,brazil,morocco,6,8,1489140000000.0,104070000000.0,215313000.0,37458000.0
2026,Group Stage,Group C,haiti,scotland,83,39,15710000000.0,169850000000.0,11585000.0,5480000.0
2026,Group Stage,Group C,scotland,morocco,39,8,169850000000.0,104070000000.0,5480000.0,37458000.0
2026,Group Stage,Group C,brazil,haiti,6,83,1489140000000.0,15710000000.0,215313000.0,11585000.0
2026,Group Stage,Group C,scotland,brazil,39,6,169850000000.0,1489140000000.0,5480000.0,215313000.0
2026,Group Stage,Group C,morocco,haiti,8,83,104070000000.0,15710000000.0,37458000.0,11585000.0
2026,Group Stage,Group D,usa,paraguay,16,41,19747710000000.0,32360000000.0,333288000.0,6781000.0
2026,Group Stage,Group D,australia,türkiye,27,25,1299380000000.0,702640000000.0,25979000.0,85341000.0
2026,Group Stage,Group D,usa,australia,16,27,19747710000000.0,1299380000000.0,333288000.0,25979000.0
2026,Group Stage,Group D,türkiye,paraguay,25,41,702640000000.0,32360000000.0,85341000.0,6781000.0
2026,Group Stage,Group D,türkiye,usa,25,16,702640000000.0,19747710000000.0,85341000.0,333288000.0
2026,Group Stage,Group D,paraguay,australia,41,27,32360000000.0,1299380000000.0,6781000.0,25979000.0
2026,Group Stage,Group E,germany,curaçao,10,82,3158210000000.0,2089999999.9999998,84080000.0,150000.0
2026,Group Stage,Group E,ivory coast,ecuador,34,23,54300000000.0,89230000000.0,28161000.0,18001000.0
2026,Group Stage,Group E,germany,ivory coast,10,34,3158210000000.0,54300000000.0,84080000.0,28161000.0
2026,Group Stage,Group E,ecuador,curaçao,23,82,89230000000.0,2089999999.9999998,18001000.0,150000.0
2026,Group Stage,Group E,curaçao,ivory coast,82,34,2089999999.9999998,54300000000.0,150000.0,28161000.0
2026,Group Stage,Group E,ecuador,germany,23,10,89230000000.0,3158210000000.0,18001000.0,84080000.0
2026,Group Stage,Group F,netherlands,japan,7,19,768660000000.0,3281480000000.0,17703000.0,125125000.0
2026,Group Stage,Group F,sweden,tunisia,38,36,454430000000.0,36190000000.0,10487000.0,12356000.0
2026,Group Stage,Group F,netherlands,sweden,7,38,768660000000.0,454430000000.0,17703000.0,10487000.0
2026,Group Stage,Group F,tunisia,japan,36,19,36190000000.0,3281480000000.0,12356000.0,125125000.0
2026,Group Stage,Group F,japan,sweden,19,38,3281480000000.0,454430000000.0,125125000.0,10487000.0
2026,Group Stage,Group F,tunisia,netherlands,36,7,36190000000.0,768660000000.0,12356000.0,17703000.0
2026,Group Stage,Group G,belgium,egypt,9,29,448740000000.0,369740000000.0,11669000.0,110990000.0
2026,Group Stage,Group G,iran,new zealand,20,85,301340000000.0,191740000000.0,88551000.0,5124000.0
2026,Group Stage,Group G,belgium,iran,9,20,448740000000.0,301340000000.0,11669000.0,88551000.0
2026,Group Stage,Group G,new zealand,egypt,85,29,191740000000.0,369740000000.0,5124000.0,110990000.0
2026,Group Stage,Group G,egypt,iran,29,20,369740000000.0,301340000000.0,110990000.0,88551000.0
2026,Group Stage,Group G,new zealand,belgium,85,9,191740000000.0,448740000000.0,5124000.0,11669000.0
2026,Group Stage,Group H,spain,cape verde,2,69,1083839999999.9999,1800000000.0,47615000.0,593000.0
2026,Group Stage,Group H,saudi arabia,uruguay,55,17,859430000000.0,55200000000.0,36409000.0,3423000.0
2026,Group Stage,Group H,spain,saudi arabia,2,55,1083839999999.9999,859430000000.0,47615000.0,36409000.0
2026,Group Stage,Group H,uruguay,cape verde,17,69,55200000000.0,1800000000.0,3423000.0,593000.0
2026,Group Stage,Group H,cape verde,saudi arabia,69,55,1800000000.0,859430000000.0,593000.0,36409000.0
2026,Group Stage,Group H,uruguay,spain,17,2,55200000000.0,1083839999999.9999,3423000.0,47615000.0
2026,Group Stage,Group I,france,senegal,1,32,2158290000000.0,21470000000.0,67936000.0,17316000.0
2026,Group Stage,Group I,iraq,norway,65,33,204890000000.0,449250000000.0,44496000.0,5457000.0
2026,Group Stage,Group I,france,iraq,1,65,2158290000000.0,204890000000.0,67936000.0,44496000.0
2026,Group Stage,Group I,norway,senegal,33,32,449250000000.0,21470000000.0,5457000.0,17316000.0
2026,Group Stage,Group I,norway,france,33,1,449250000000.0,2158290000000.0,5457000.0,67936000.0
2026,Group Stage,Group I,senegal,iraq,32,65,21470000000.0,204890000000.0,17316000.0,44496000.0
2026,Group Stage,Group J,argentina,algeria,3,28,490750000000.0,148840000000.0,46235000.0,44903000.0
2026,Group Stage,Group J,austria,jordan,24,72,365600000000.0,36800000000.0,9043000.0,11286000.0
2026,Group Stage,Group J,argentina,austria,3,24,490750000000.0,365600000000.0,46235000.0,9043000.0
2026,Group Stage,Group J,jordan,algeria,72,28,36800000000.0,148840000000.0,11286000.0,44903000.0
2026,Group Stage,Group J,algeria,austria,28,24,148840000000.0,365600000000.0,44903000.0,9043000.0
2026,Group Stage,Group J,jordan,argentina,72,3,36800000000.0,490750000000.0,11286000.0,46235000.0
2026,Group Stage,Group K,portugal,dr congo,5,58,195400000000.0,45030000000.0,10379000.0,99010000.0
2026,Group Stage,Group K,uzbekistan,colombia,64,14,62350000000.0,266740000000.0,35648000.0,51874000.0
2026,Group Stage,Group K,portugal,uzbekistan,5,64,195400000000.0,62350000000.0,10379000.0,35648000.0
2026,Group Stage,Group K,colombia,dr congo,14,58,266740000000.0,45030000000.0,51874000.0,99010000.0
2026,Group Stage,Group K,colombia,portugal,14,5,266740000000.0,195400000000.0,51874000.0,10379000.0
2026,Group Stage,Group K,dr congo,uzbekistan,58,64,45030000000.0,62350000000.0,99010000.0,35648000.0
2026,Group Stage,Group L,england,croatia,4,11,2381470000000.0,55040000000.0,56490000.0,3854000.0
