fixture_id,date,timestamp,venue,city,status,league_id,season,round,home_team,away_team,home_id,away_id,home_win,away_win,home_goals,away_goals,ht_home,ht_away,ft_home,ft_away,et_home,et_away,pen_home,pen_away,goal_diff,total_goals,result,is_draw,went_to_et,went_to_pen
855736,2022-11-20 16:00:00+00:00,1668960000,Al Bayt Stadium,Al Khor,FT,1,2022,Group Stage - 1,Qatar,Ecuador,1569,2382,0.0,1.0,0,2,0,2,0,2,,,,,-2,2,-1,0,0,0
855735,2022-11-21 13:00:00+00:00,1669035600,Khalifa International Stadium,Ar-Rayyan,FT,1,2022,Group Stage - 1,England,Iran,10,22,1.0,0.0,6,2,3,0,6,2,,,,,4,8,1,0,0,0
855734,2022-11-21 16:00:00+00:00,1669046400,Al Thumama Stadium,Doha,FT,1,2022,Group Stage - 1,Senegal,Netherlands,13,1118,0.0,1.0,0,2,0,0,0,2,,,,,-2,2,-1,0,0,0
866681,2022-11-21 19:00:00+00:00,1669057200,Ahmad bin Ali Stadium,Al-Rayyan,FT,1,2022,Group Stage - 1,USA,Wales,2384,767,,,1,1,1,0,1,1,,,,,0,2,0,1,0,0
855737,2022-11-22 10:00:00+00:00,1669111200,Lusail Iconic Stadium,Lusail,FT,1,2022,Group Stage - 1,Argentina,Saudi Arabia,26,23,0.0,1.0,1,2,1,0,1,2,,,,,-1,3,-1,0,0,0
855738,2022-11-22 13:00:00+00:00,1669122000,Education City Stadium,Ar-Rayyan,FT,1,2022,Group Stage - 1,Denmark,Tunisia,21,28,,,0,0,0,0,0,0,,,,,0,0,0,1,0,0
855739,2022-11-22 16:00:00+00:00,1669132800,Stadium 974,Doha,FT,1,2022,Group Stage - 1,Mexico,Poland,16,24,,,0,0,0,0,0,0,,,,,0,0,0,1,0,0
871850,2022-11-22 19:00:00+00:00,1669143600,Al Janoub Stadium,Al Wakrah,FT,1,2022,Group Stage - 1,France,Australia,2,20,1.0,0.0,4,1,2,1,4,1,,,,,3,5,1,0,0,0
855740,2022-11-23 10:00:00+00:00,1669197600,Al Bayt Stadium,Al Khor,FT,1,2022,Group Stage - 1,Morocco,Croatia,31,3,,,0,0,0,0,0,0,,,,,0,0,0,1,0,0
855741,2022-11-23 13:00:00+00:00,1669208400,Khalifa International Stadium,Ar-Rayyan,FT,1,2022,Group Stage - 1,Germany,Japan,25,12,0.0,1.0,1,2,1,0,1,2,,,,,-1,3,-1,0,0,0
871851,2022-11-23 16:00:00+00:00,1669219200,Al Thumama Stadium,Doha,FT,1,2022,Group Stage - 1,Spain,Costa Rica,9,29,1.0,0.0,7,0,3,0,7,0,,,,,7,7,1,0,0,0
855742,2022-11-23 19:00:00+00:00,1669230000,Ahmad bin Ali Stadium,Al-Rayyan,FT,1,2022,Group Stage - 1,Belgium,Canada,1,5529,1.0,0.0,1,0,1,0,1,0,,,,,1,1,1,0,0,0
855743,2022-11-24 10:00:00+00:00,1669284000,Al Janoub Stadium,Al Wakrah,FT,1,2022,Group Stage - 1,Switzerland,Cameroon,15,1530,1.0,0.0,1,0,0,0,1,0,,,,,1,1,1,0,0,0
855744,2022-11-24 13:00:00+00:00,1669294800,Education City Stadium,Ar-Rayyan,FT,1,2022,Group Stage - 1,Uruguay,South Korea,7,17,,,0,0,0,0,0,0,,,,,0,0,0,1,0,0
855745,2022-11-24 16:00:00+00:00,1669305600,Stadium 974,Doha,FT,1,2022,Group Stage - 1,Portugal,Ghana,27,1504,1.0,0.0,3,2,0,0,3,2,,,,,1,5,1,0,0,0
855746,2022-11-24 19:00:00+00:00,1669316400,Lusail Iconic Stadium,Lusail,FT,1,2022,Group Stage - 1,Brazil,Serbia,6,14,1.0,0.0,2,0,0,0,2,0,,,,,2,2,1,0,0,0
866682,2022-11-25 10:00:00+00:00,1669370400,Ahmad bin Ali Stadium,Al-Rayyan,FT,1,2022,Group Stage - 2,Wales,Iran,767,22,0.0,1.0,0,2,0,0,0,2,,,,,-2,2,-1,0,0,0
855747,2022-11-25 13:00:00+00:00,1669381200,Al Thumama Stadium,Doha,FT,1,2022,Group Stage - 2,Qatar,Senegal,1569,13,0.0,1.0,1,3,0,1,1,3,,,,,-2,4,-1,0,0,0
855748,2022-11-25 16:00:00+00:00,1669392000,Khalifa International Stadium,Ar-Rayyan,FT,1,2022,Group Stage - 2,Netherlands,Ecuador,1118,2382,,,1,1,1,0,1,1,,,,,0,2,0,1,0,0
855749,2022-11-25 19:00:00+00:00,1669402800,Al Bayt Stadium,Al Khor,FT,1,2022,Group Stage - 2,England,USA,10,2384,,,0,0,0,0,0,0,,,,,0,0,0,1,0,0
871852,2022-11-26 10:00:00+00:00,1669456800,Al Janoub Stadium,Al Wakrah,FT,1,2022,Group Stage - 2,Tunisia,Australia,28,20,0.0,1.0,0,1,0,1,0,1,,,,,-1,1,-1,0,0,0
855750,2022-11-26 13:00:00+00:00,1669467600,Education City Stadium,Ar-Rayyan,FT,1,2022,Group Stage - 2,Poland,Saudi Arabia,24,23,1.0,0.0,2,0,1,0,2,0,,,,,2,2,1,0,0,0
