match_id,year,stage,home_team,away_team,home_score,away_score,home_rank,away_rank,result,home_gdp,home_pop,away_gdp,away_pop
0,1930,Group Stage,France,Mexico,4.0,1.0,2.0,13.0,1,300590640000.0,41610000.0,38351775000.0,17175000.0
17,1930,Final,Uruguay,Argentina,4.0,2.0,3.0,1.0,1,10192350000.0,1713000.0,77359688000.0,11896000.0
16,1930,Semifinals,Uruguay,Yugoslavia,6.0,1.0,3.0,5.0,1,10192350000.0,1713000.0,27877545000.0,14407000.0
15,1930,Semifinals,Argentina,United States,6.0,1.0,1.0,7.0,1,77359688000.0,11896000.0,1322627043286.0654,123668000.0
14,1930,Group Stage,Paraguay,Belgium,1.0,0.0,3.0,9.0,1,2629770485.6895413,880000.0,64091136000.0,8076000.0
13,1930,Group Stage,United States,Paraguay,3.0,0.0,7.0,3.0,1,1322627043286.0654,123668000.0,2629770485.6895413,880000.0
11,1930,Group Stage,Uruguay,Romania,4.0,0.0,3.0,11.0,1,10192350000.0,1713000.0,21705323727.79055,14141000.0
10,1930,Group Stage,Uruguay,Peru,1.0,0.0,3.0,8.0,1,10192350000.0,1713000.0,14527480000.0,5480000.0
9,1930,Group Stage,Romania,Peru,3.0,1.0,11.0,8.0,1,21705323727.79055,14141000.0,14527480000.0,5480000.0
12,1930,Group Stage,United States,Belgium,3.0,0.0,7.0,9.0,1,1322627043286.0654,123668000.0,64091136000.0,8076000.0
7,1930,Group Stage,Yugoslavia,Bolivia,4.0,0.0,5.0,12.0,1,27877545000.0,14407000.0,5467557000.0,2397000.0
6,1930,Group Stage,Yugoslavia,Brazil,2.0,1.0,5.0,10.0,1,27877545000.0,14407000.0,45316800000.0,33568000.0
5,1930,Group Stage,Argentina,Chile,3.0,1.0,1.0,6.0,1,77359688000.0,11896000.0,20801016000.0,4266000.0
4,1930,Group Stage,Argentina,Mexico,6.0,3.0,1.0,13.0,1,77359688000.0,11896000.0,38351775000.0,17175000.0
3,1930,Group Stage,Chile,France,1.0,0.0,6.0,2.0,1,20801016000.0,4266000.0,300590640000.0,41610000.0
