year,group,team1,team2,score,source_url
1930,Group A,FRA,MEX,4:1,https://www.rsssf.org/tables/30full.html
1930,Group A,ARG,FRA,1:0,https://www.rsssf.org/tables/30full.html
1930,Group A,CHI,MEX,3:0,https://www.rsssf.org/tables/30full.html
1930,Group A,CHI,FRA,1:0,https://www.rsssf.org/tables/30full.html
1930,Group A,ARG,MEX,6:3,https://www.rsssf.org/tables/30full.html
1930,Group A,ARG,CHI,3:1,https://www.rsssf.org/tables/30full.html
1930,Group B,JUG,BRA,2:1,https://www.rsssf.org/tables/30full.html
1930,Group B,JUG,BOL,4:0,https://www.rsssf.org/tables/30full.html
1930,Group B,BRA,BOL,4:0,https://www.rsssf.org/tables/30full.html
1930,Group C,ROM,PER,3:1,https://www.rsssf.org/tables/30full.html
1930,Group C,URU,PER,1:0,https://www.rsssf.org/tables/30full.html
1930,Group C,URU,ROM,4:0,https://www.rsssf.org/tables/30full.html
1930,Group D,USA,BEL,3:0,https://www.rsssf.org/tables/30full.html
1930,Group D,USA,PAR,3:0,https://www.rsssf.org/tables/30full.html
1930,Group D,PAR,BEL,1:0,https://www.rsssf.org/tables/30full.html
1930,Group D,ARG,USA,6:1,https://www.rsssf.org/tables/30full.html
1930,Group D,URU,JUG,6:1,https://www.rsssf.org/tables/30full.html
1930,Group D,URU,ARG,4:2,https://www.rsssf.org/tables/30full.html
1934,,ITA,USA,7:1,https://www.rsssf.org/tables/34full.html
1934,,CZE,ROM,2:1,https://www.rsssf.org/tables/34full.html
1934,,GER,BEL,5:2,https://www.rsssf.org/tables/34full.html
1934,,AUT,FRA,3:2,https://www.rsssf.org/tables/34full.html
1934,,ESP,BRA,3:1,https://www.rsssf.org/tables/34full.html
1934,,SUI,HOL,3:2,https://www.rsssf.org/tables/34full.html
1934,,SWE,ARG,3:2,https://www.rsssf.org/tables/34full.html
1934,,HUN,EGY,4:2,https://www.rsssf.org/tables/34full.html
1934,,GER,SWE,2:1,https://www.rsssf.org/tables/34full.html
1934,,AUT,HUN,2:1,https://www.rsssf.org/tables/34full.html
1934,,ITA,ESP,1:1,https://www.rsssf.org/tables/34full.html
1934,,ITA,ESP,1:0,https://www.rsssf.org/tables/34full.html
1934,,CZE,SUI,3:2,https://www.rsssf.org/tables/34full.html
1934,,ITA,AUT,1:0,https://www.rsssf.org/tables/34full.html
1934,,CZE,GER,3:1,https://www.rsssf.org/tables/34full.html
1934,,GER,AUT,3:2,https://www.rsssf.org/tables/34full.html
1934,,ITA,CZE,2:1,https://www.rsssf.org/tables/34full.html
1938,,SUI,GER,1:1,https://www.rsssf.org/tables/38full.html
1938,,SUI,GER,4:2,https://www.rsssf.org/tables/38full.html
1938,,CUB,ROM,3:3,https://www.rsssf.org/tables/38full.html
1938,,CUB,ROM,2:1,https://www.rsssf.org/tables/38full.html
1938,,CZE,HOL,3:0,https://www.rsssf.org/tables/38full.html
1938,,FRA,BEL,3:1,https://www.rsssf.org/tables/38full.html
1938,,HUN,IHO,6:0,https://www.rsssf.org/tables/38full.html
1938,,ITA,NOR,2:1,https://www.rsssf.org/tables/38full.html
1938,,BRA,POL,6:5,https://www.rsssf.org/tables/38full.html
1938,,ITA,FRA,3:1,https://www.rsssf.org/tables/38full.html
1938,,SWE,CUB,8:0,https://www.rsssf.org/tables/38full.html
1938,,HUN,SUI,2:0,https://www.rsssf.org/tables/38full.html
1938,,BRA,CZE,1:1,https://www.rsssf.org/tables/38full.html
1938,,BRA,CZE,2:1,https://www.rsssf.org/tables/38full.html
1938,,HUN,SWE,5:1,https://www.rsssf.org/tables/38full.html
1938,,ITA,BRA,2:1,https://www.rsssf.org/tables/38full.html
1938,,BRA,SWE,4:2,https://www.rsssf.org/tables/38full.html
1938,,ITA,HUN,4:2,https://www.rsssf.org/tables/38full.html
1950,Group A,BRA,MEX,4:0,https://www.rsssf.org/tables/50full.html
1950,Group A,JUG,SUI,3:0,https://www.rsssf.org/tables/50full.html
1950,Group A,BRA,SUI,2:2,https://www.rsssf.org/tables/50full.html
1950,Group A,JUG,MEX,4:1,https://www.rsssf.org/tables/50full.html
1950,Group A,BRA,JUG,2:0,https://www.rsssf.org/tables/50full.html
1950,Group A,SUI,MEX,2:1,https://www.rsssf.org/tables/50full.html
1950,Group B,ENG,CHI,2:0,https://www.rsssf.org/tables/50full.html
1950,Group B,ESP,USA,3:1,https://www.rsssf.org/tables/50full.html
1950,Group B,ESP,CHI,2:0,https://www.rsssf.org/tables/50full.html
1950,Group B,USA,ENG,1:0,https://www.rsssf.org/tables/50full.html
1950,Group B,ESP,ENG,1:0,https://www.rsssf.org/tables/50full.html
1950,Group B,CHI,USA,5:2,https://www.rsssf.org/tables/50full.html
1950,Group C,SWE,ITA,3:2,https://www.rsssf.org/tables/50full.html
1950,Group C,SWE,PAR,2:2,https://www.rsssf.org/tables/50full.html
1950,Group C,ITA,PAR,2:0,https://www.rsssf.org/tables/50full.html
1950,Group D,URU,BOL,8:0,https://www.rsssf.org/tables/50full.html
