year,stage,group,home_team,away_team,home_score,away_score,score_info
1930,Group Stage,Group 1,France,Mexico,4.0,1.0,
1930,Group Stage,Group 1,Argentina,France,1.0,0.0,
1930,Group Stage,Group 1,Chile,Mexico,3.0,0.0,
1930,Group Stage,Group 1,Chile,France,1.0,0.0,
1930,Group Stage,Group 1,Argentina,Mexico,6.0,3.0,
1930,Group Stage,Group 1,Argentina,Chile,3.0,1.0,
1930,Group Stage,Group 2,Yugoslavia,Brazil,2.0,1.0,
1930,Group Stage,Group 2,Yugoslavia,Bolivia,4.0,0.0,
1930,Group Stage,Group 2,Brazil,Bolivia,4.0,0.0,
1930,Group Stage,Group 3,Romania,Peru,3.0,1.0,
1930,Group Stage,Group 3,Uruguay,Peru,1.0,0.0,
1930,Group Stage,Group 3,Uruguay,Romania,4.0,0.0,
1930,Group Stage,Group 4,United States,Belgium,3.0,0.0,
1930,Group Stage,Group 4,United States,Paraguay,3.0,0.0,
1930,Group Stage,Group 4,Paraguay,Belgium,1.0,0.0,
1930,Semifinals,,Argentina,United States,6.0,1.0,
1930,Semifinals,,Uruguay,Yugoslavia,6.0,1.0,
1930,Final,,Uruguay,Argentina,4.0,2.0,
1934,Round of 16,,Spain,Brazil,3.0,1.0,
1934,Round of 16,,Hungary,Egypt,4.0,2.0,
1934,Round of 16,,Switzerland,Netherlands,3.0,2.0,
1934,Round of 16,,Italy,United States,7.0,1.0,
1934,Round of 16,,Czechoslovakia,Romania,2.0,1.0,
1934,Round of 16,,Sweden,Argentina,3.0,2.0,
1934,Round of 16,,Austria,France,3.0,2.0, a.e.t. 
1934,Round of 16,,Germany,Belgium,5.0,2.0,
1934,Quarterfinals,,Austria,Hungary,2.0,1.0,
1934,Quarterfinals,,Italy,Spain,1.0,1.0, a.e.t. 
1934,Quarterfinals,,Germany,Sweden,2.0,1.0,
1934,Quarterfinals,,Czechoslovakia,Switzerland,3.0,2.0,
1934,Quarterfinals,,Italy,Spain,1.0,0.0,
1934,Semifinals,,Italy,Austria,1.0,0.0,
1934,Semifinals,,Czechoslovakia,Germany,3.0,1.0,
1934,Third Place Match,,Germany,Austria,3.0,2.0,
1934,Final,,Italy,Czechoslovakia,2.0,1.0, a.e.t. 
1938,Round of 16,,Switzerland,Germany,1.0,1.0, a.e.t. 
1938,Round of 16,,Hungary,Dutch East Indies,6.0,0.0,
1938,Round of 16,,Sweden,Austria,,,
1938,Round of 16,,Cuba,Romania,3.0,3.0, a.e.t. 
1938,Round of 16,,France,Belgium,3.0,1.0,
1938,Round of 16,,Italy,Norway,2.0,1.0, a.e.t. 
1938,Round of 16,,Brazil,Poland,6.0,5.0, a.e.t. 
1938,Round of 16,,Czechoslovakia,Netherlands,3.0,0.0, a.e.t. 
1938,Round of 16,,Switzerland,Germany,4.0,2.0,
1938,Round of 16,,Cuba,Romania,2.0,1.0,
1938,Quarterfinals,,Hungary,Switzerland,2.0,0.0,
1938,Quarterfinals,,Sweden,Cuba,8.0,0.0,
1938,Quarterfinals,,Italy,France,3.0,1.0,
1938,Quarterfinals,,Brazil,Czechoslovakia,1.0,1.0, a.e.t. 
1938,Quarterfinals,,Brazil,Czechoslovakia,2.0,1.0,
1938,Semifinals,,Hungary,Sweden,5.0,1.0,
1938,Semifinals,,Italy,Brazil,2.0,1.0,
1938,Third Place Match,,Brazil,Sweden,4.0,2.0,
1938,Final,,Italy,Hungary,4.0,2.0,
1950,Group Stage,Group 1,Brazil,Mexico,4.0,0.0,
1950,Group Stage,Group 1,Yugoslavia,Switzerland,3.0,0.0,
1950,Group Stage,Group 1,Brazil,Switzerland,2.0,2.0,
1950,Group Stage,Group 1,Yugoslavia,Mexico,4.0,1.0,
1950,Group Stage,Group 1,Brazil,Yugoslavia,2.0,0.0,
1950,Group Stage,Group 1,Switzerland,Mexico,2.0,1.0,
1950,Group Stage,Group 2,England,Chile,2.0,0.0,
1950,Group Stage,Group 2,Spain,United States,3.0,1.0,
1950,Group Stage,Group 2,Spain,Chile,2.0,0.0,
1950,Group Stage,Group 2,United States,England,1.0,0.0,
1950,Group Stage,Group 2,Spain,England,1.0,0.0,
1950,Group Stage,Group 2,Chile,United States,5.0,2.0,
1950,Group Stage,Group 3,Sweden,Italy,3.0,2.0,
1950,Group Stage,Group 3,Sweden,Paraguay,2.0,2.0,
1950,Group Stage,Group 3,Italy,Paraguay,2.0,0.0,
1950,Group Stage,Group 4,Uruguay,Bolivia,8.0,0.0,
1950,Final,,Uruguay,Spain,2.0,2.0,
1950,Final,,Brazil,Sweden,7.0,1.0,
1950,Final,,Brazil,Spain,6.0,1.0,
1950,Final,,Uruguay,Sweden,3.0,2.0,
1950,Final,,Sweden,Spain,3.0,1.0,
1950,Final,,Uruguay,Brazil,2.0,1.0,
1954,Group Stage,Group 1,Brazil,Mexico,5.0,0.0,
1954,Group Stage,Group 1,Yugoslavia,France,1.0,0.0,
1954,Group Stage,Group 1,Brazil,Yugoslavia,1.0,1.0, a.e.t. 
